exam_name,section_title,case_study_title,visit_title,visit_content,question_text,max_point,option_1,option_2,option_3,option_4,correct_option,score_category_1,content_area_1,score_category_2,content_area_2
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 2","Content for Section 6 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 3","Content for Section 6 Visit 3","What is the termination strategy?",1,Abruptly,"Phased out",Celebration,"Individual sessions",C,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 3","Content for Section 6 Visit 3","Follow-up Q1: What is the termination strategy?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 3","Content for Section 6 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 1","Content for Section 7 Visit 1","What research design is most appropriate?",1,Experimental,Correlational,"Case Study",Survey,A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 1","Content for Section 7 Visit 1","Follow-up Q1: What research design is most appropriate?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 1","Content for Section 7 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 2","Content for Section 7 Visit 2","Is this result significant?",1,"p < 0.05","p > 0.05","p = 1.0","Not applicable",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 2","Content for Section 7 Visit 2","Follow-up Q1: Is this result significant?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 2","Content for Section 7 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 3","Content for Section 7 Visit 3","What is the ethical requirement for research?",1,"Informed Consent",Payment,Anonymity,"Both A and C",D,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 3","Content for Section 7 Visit 3","Follow-up Q1: What is the ethical requirement for research?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 3","Content for Section 7 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 8: Social/Cultural","Case Study for Section 8","Visit 1","Content for Section 8 Visit 1","What cultural factor is relevant here?",1,Socioeconomics,Ethnicity,"Gender Identity","All of the above",D,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Social and Cultural Diversity"
"Seed Exam (11 Sections)","Section 8: Social/Cultural","Case Study for Section 8","Visit 1","Content for Section 8 Visit 1","Follow-up Q1: What cultural factor is relevant here?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Social and Cultural Diversity"
"Seed Exam (11 Sections)","Section 8: Social/Cultural","Case Study for Section 8","Visit 1","Content for Section 8 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Social and Cultural Diversity"
"Seed Exam (11 Sections)","Section 8: Social/Cultural","Case Study for Section 8","Visit 2","Content for Section 8 Visit 2","How should the counselor address bias?",1,"Ignore it","Acknowledge and consult","Tell client to change","None of the above",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Social and Cultural Diversity"
"Seed Exam (11 Sections)","Section 8: Social/Cultural","Case Study for Section 8","Visit 2","Content for Section 8 Visit 2","Follow-up Q1: How should the counselor address bias?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Social and Cultural Diversity"
"Seed Exam (11 Sections)","Section 8: Social/Cultural","Case Study for Section 8","Visit 2","Content for Section 8 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Social and Cultural Diversity"
"Seed Exam (11 Sections)","Section 8: Social/Cultural","Case Study for Section 8","Visit 3","Content for Section 8 Visit 3","What model of identity development fits?",1,Cross,Hardiman,Atkinson,Poston,A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Social and Cultural Diversity"
"Seed Exam (11 Sections)","Section 8: Social/Cultural","Case Study for Section 8","Visit 3","Content for Section 8 Visit 3","Follow-up Q1: What model of identity development fits?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Social and Cultural Diversity"
"Seed Exam (11 Sections)","Section 8: Social/Cultural","Case Study for Section 8","Visit 3","Content for Section 8 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Social and Cultural Diversity"
"Seed Exam (11 Sections)","Section 9: Counseling Relationship","Case Study for Section 9","Visit 1","Content for Section 9 Visit 1","Which core condition is lacking?",1,Genuineness,Empathy,"Unconditional Positive Regard",Congruence,B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 9: Counseling Relationship","Case Study for Section 9","Visit 1","Content for Section 9 Visit 1","Follow-up Q1: Which core condition is lacking?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 9: Counseling Relationship","Case Study for Section 9","Visit 1","Content for Section 9 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 9: Counseling Relationship","Case Study for Section 9","Visit 2","Content for Section 9 Visit 2","What is the client's transference?",1,Positive,Negative,Erotic,Countertransference,A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 9: Counseling Relationship","Case Study for Section 9","Visit 2","Content for Section 9 Visit 2","Follow-up Q1: What is the client's transference?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 9: Counseling Relationship","Case Study for Section 9","Visit 2","Content for Section 9 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 9: Counseling Relationship","Case Study for Section 9","Visit 3","Content for Section 9 Visit 3","How to repair the alliance rupture?",1,Ignore,"Apologize and discuss","End therapy","Change roles",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 9: Counseling Relationship","Case Study for Section 9","Visit 3","Content for Section 9 Visit 3","Follow-up Q1: How to repair the alliance rupture?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 9: Counseling Relationship","Case Study for Section 9","Visit 3","Content for Section 9 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 1","Content for Section 10 Visit 1","Which supervision model applies?",1,"Discrimination Model",Developmental,IDM,"All of the above",D,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 1","Content for Section 10 Visit 1","Follow-up Q1: Which supervision model applies?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 1","Content for Section 10 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 2","Content for Section 10 Visit 2","What is the supervisor's role here?",1,Teacher,Counselor,Consultant,Liaison,A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 2","Content for Section 10 Visit 2","Follow-up Q1: What is the supervisor's role here?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 2","Content for Section 10 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 3","Content for Section 10 Visit 3","How to handle supervisee resistance?",1,"Force them","Discuss barriers","Change supervisor",Ignore,B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 3","Content for Section 10 Visit 3","Follow-up Q1: How to handle supervisee resistance?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 3","Content for Section 10 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 1","Content for Section 11 Visit 1","What is the primary diagnosis?",1,"Major Depression","Generalized Anxiety",PTSD,"Adjustment Disorder",C,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 1","Content for Section 11 Visit 1","Follow-up Q1: What is the primary diagnosis?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 1","Content for Section 11 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 2","Content for Section 11 Visit 2","What is the prognosis?",1,Excellent,Good,Fair,Poor,B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 2","Content for Section 11 Visit 2","Follow-up Q1: What is the prognosis?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 2","Content for Section 11 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 3","Content for Section 11 Visit 3","What is the follow-up plan?",1,"3 months check-in","No follow-up","Weekly sessions","Group therapy",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 3","Content for Section 11 Visit 3","Follow-up Q1: What is the follow-up plan?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 3","Content for Section 11 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
